0.89	-113.1491366
0.91	-113.1962448
0.93	-113.2359836
0.95	-113.2692236
0.97	-113.2967348
0.99	-113.3192031
1.01	-113.3372332
1.03	-113.3513626
1.05	-113.3620683
1.07	-113.3697737
1.09	-113.3748547
1.11	-113.3776453
1.13	-113.3784423
1.15	-113.377509
1.17	-113.3750798
1.19	-113.3713625
1.21	-113.3665418
1.23	-113.3607816
1.25	-113.3542286
1.27	-113.347009
1.29	-113.3392381
1.31	-113.3310167
1.33	-113.3224338
1.35	-113.3135679
1.37	-113.3044881
1.39	-113.2952548
1.41	-113.2859214
1.43	-113.2765329
1.55	-113.221006
